id,Anxiety,Stress,Support
2,10.1852,3.19813,6.1602
4,5.58873,7.0084,8.9069
6,6.585,6.174,10.5433
19,8.9543,8.69884,11.4605
40,7.5991,5.26707,5.5516
45,8.156,5.12485,7.5117
51,9.0802,6.8538,8.5565
54,3.41339,1.7708,4.1
86,8.6581,3.75282,5.3913
92,4.84619,5.4499,13.9148
103,5.74215,5.6286,14.6382
109,6.30689,0.8773,1.7365
128,10.6263,6.73299,5.1448
129,6.74786,4.4397,7.3979
137,11.2027,5.92424,8.906
140,4.22281,6.1971,11.3973
146,4.02796,7.3209,13.1865
148,11.5238,6.02653,5.61578
149,3.06053,10.3246,15.1589
150,6.74862,3.7707,11.3194
154,3.48494,5.735,14.0212
159,11.6943,5.49516,8.03512
172,7.5184,3.6993,5.2774
177,8.2245,4.58931,10.3484
199,7.2386,4.8555,10.4038
218,7.34928,1.9871,5.26
233,5.75941,5.0793,9.2697
236,7.00715,6.3711,10.4004
241,12.3837,6.06967,7.49543
242,8.3594,4.85614,8.2514
245,8.9698,4.22895,11.6155
248,1.42272,6.218,17.3393
250,5.9234,2.7378,8.5434
264,8.9324,5.91872,10.5425
277,3.3011,4.6177,8.8502
278,6.56458,2.3606,5.914
281,6.94696,6.2869,10.7507
283,9.5041,7.63132,5.6657
293,3.72717,4.0722,9.8231
296,10.4293,5.18795,7.9444
306,8.9229,4.84015,13.1455
308,9.7615,6.09571,7.7703
311,8.4013,3.79769,7.9046
317,8.8707,6.4017,8.4505
321,12.462,6.93395,3.63877
327,5.91552,3.7659,4.6136
328,1.43546,10.2669,16.6094
344,9.915,5.86156,7.4309
346,7.55243,7.8516,9.663
366,10.9899,2.41348,5.1655
373,8.0046,4.77413,9.079
386,8.708,4.7261,7.0293
389,6.64578,4.7156,10.2793
401,8.2625,5.9478,9.2086
422,6.83593,4.2449,10.7297
427,7.8591,7.06578,8.9292
429,10.0593,5.73959,6.3475
450,7.9693,5.22234,7.8123
453,7.7177,4.45613,8.5531
472,10.7984,4.93474,2.7075
498,6.30535,1.1909,3.5847
500,3.03299,5.7488,14.3658
503,9.3737,5.39401,4.8863
509,9.8254,6.77647,8.914
543,5.96415,7.6428,10.3623
548,9.7705,6.34933,7.4614
563,5.91696,5.8084,11.9657
572,8.643,2.51234,8.0663
581,7.8391,4.9287,9.0726
585,6.96872,4.906,10.7225
589,6.14228,4.7535,9.6868
602,9.9616,2.33024,1.0712
613,6.07524,6.267,11.1709
620,5.81347,2.3841,8.4088
628,5.86049,4.8555,12.1514
636,3.69099,6.3199,15.9405
638,10.2308,2.0676,7.0593
642,14.6428,5.92291,3.52381
650,5.3819,2.9432,5.3306
674,8.0327,3.87622,7.1696
682,5.55689,5.9873,13.477
693,6.15461,6.2845,8.7993
699,6.3292,2.9221,6.8035
705,3.58692,4.1499,6.4259
720,6.96691,9.2772,10.9449
724,10.4839,6.65055,5.8589
730,8.5293,9.39876,12.0258
744,6.56244,5.8309,7.9594
748,9.0401,5.27865,8.415
750,7.9381,2.18252,11.4761
754,8.604,4.66802,8.5114
763,7.14036,3.7944,11.1162
774,8.7063,7.09303,11.926
792,4.3633,3.3811,6.7864
809,9.9922,5.59351,6.9079
811,7.9765,5.58365,8.0414
814,9.5421,2.99499,8.0565
842,11.486,6.69221,6.9356
843,8.9896,7.23388,8.0087
858,7.50061,3.3581,3.653
866,5.4882,5.169,8.5275
883,7.6155,4.06621,6.6007
886,6.81157,7.2248,11.3322
889,7.8852,3.78065,9.7751
895,8.2337,6.18172,12.8095
903,10.1108,5.49338,8.3133
904,9.6343,5.04774,5.864
914,8.9257,5.66546,8.3808
924,8.4885,2.29235,6.3242
927,7.04304,6.9129,11.396
937,7.16339,0.6162,0.0227
944,0.69848,9.1667,16.9816
969,7.7846,3.69495,8.9742
978,11.121,3.65619,4.5321
981,6.95909,5.3923,9.9993
982,5.08169,6.7964,11.1862
984,13.1226,7.0819,6.48325
986,6.29789,3.0736,12.1766
