Couple_ID,Particiapnt_ID,ID,Time,Event,IQ,Gender,Pep_Self,Pep_Mate,Pep_P1,Pep_P2,Pep_P3,Pep_P4,Pep_P5,Pep_P6,Pep_P7,Intelligence_Self,Intelligence_Mate,Intelligence_P1,Intelligence_P2,Intelligence_P3,Intelligence_P4,Intelligence_P5,Intelligence_P6,Intelligence_P7,SelfAssured_Self,SelfAssured_Mate,SelfAssured_P1,SelfAssured_P2,SelfAssured_P3,SelfAssured_P4,SelfAssured_P5,SelfAssured_P6,SelfAssured_P7,Sociable_Self,Sociable_Mate,Sociable_P1,Sociable_P2,Sociable_P3,Sociable_P4,Sociable_P5,Sociable_P6,Sociable_P7,Attractive_Self,Attractive_Mate,Attractive_P1,Attractive_P2,Attractive_P3,Attractive_P4,Attractive_P5,Attractive_P6,Attractive_P7,Nervous_Self,Nervous_Mate,Nervous_P1,Nevrous_P2,Nervous_P3,Nervous_P4,Nervous_P5,Nervous_P6,Nervous_P7,Popular_Self,Popular_Mate,Popular_P1,Popular_P2,Popular_P3,Popular_P4,Popular_P5,Popular_P6,Popular_P7,Religious_Self,Religious_Mate,Religious_P1,Religious_P2,Religious_P3,Religious_P4,Religious_P5,Religious_P6,Religious_P7,Punctual_Self,Punctual_Mate,Punctual_P1,Punctual_P2,Punctual_P3,Punctual_P4,Punctual_P5,Punctual_P6,Punctual_P7,Initiative_Self,Initiative_Mate,Initiative_P1,Initiative_P2,Initiative_P3,Initiative_P4,Initiative_P5,Initiative_P6,Initiative_P7,Courtesy_Self,Courtesy_Mate,Courtesy_P1,Courtesy_P2,Courtesy_P3,Courtesy_P4,Courtesy_P5,Courtesy_P6,Courtesy_P7,Jealous_Self,Jealous_Mate,Jealous_P1,Jealous_P2,Jealous_P3,Jealous_P4,Jealous_P5,Jealous_P6,Jealous_P7,Voice_Self,Voice_Mate,Voice_P1,Voice_P2,Voice_P3,Voice_P4,Voice_P5,Voice_P6,Voice_P7,Cooperation_Self,Cooperation_Mate,Cooperation_P1,Cooperation_P2,Cooperation_P3,Cooperation_P4,Cooperation_P5,Cooperation_P6,Cooperation_P7,Culture_Self,Culture_Mate,Culture_P1,Culture_P2,Culture_P3,Culture_P4,Culture_P5,Culture_P6,Culture_P7,Graceful_Self,Graceful_Mate,Graceful_P1,Graceful_P2,Graceful_P3,Graceful_P4,Graceful_P5,Graceful_P6,Graceful_P7,Persistent_Self,Persistent_Mate,Persistent_P1,Persistent_P2,Persistent_P3,Persistent_P4,Persistent_P5,Persistent_P6,Persistent_P7,Generosity_Self,Generosity_Mate,Generosity_P1,Generosity_P2,Generosity_P3,Generosity_P4,Generosity_P5,Generosity_P6,Generosity_P7,Honesty_Self,Honesty_Mate,Honesty_P1,Honesty_P2,Honesty_P3,Honesty_P4,Honesty_P5,Honesty_P6,Honesty_P7,Dress_Self,Dress_Mate,Dress_P1,Dress_P2,Dress_P3,Dress_P4,Dress_P5,Dress_P6,Dress_P7,Patience_Self,Patience_Mate,Patience_P1,Patience_P2,Patience_P3,Patience_P4,Patience_P5,Patience_P6,Patience_P7,CSense_Self,CSense_Mate,CSense_P1,CSense_P2,CSense_P3,CSense_P4,CSense_P5,CSense_P6,CSense_P7,Interests_Self,Interests_Mate,Interests_P1,Interests_P2,Interests_P3,Interests_P4,Interests_P5,Interests_P6,Interests_P7,Disposition_Self,Disposition_Mate,Disposition_P1,Disposition_P2,Disposition_P3,Disposition_P4,Disposition_P5,Disposition_P6,Disposition_P7,Convention_Self,Convention_Mate,Convention_P1,Convention_P2,Convention_P3,Convention_P4,Convention_P5,Convention_P6,Convention_P7,Sport_Self,Sport_Mate,Sport_P1,Sport_P2,Sport_P3,Sport_P4,Sport_P5,Sport_P6,Sport_P7,Quiet_Self,Quiet_Mate,Quiet_P1,Quiet_P2,Quiet_P3,Quiet_P4,Quiet_P5,Quiet_P6,Quiet_P7,Sincere_Self,Sincere_Mate,Sincere_P1,Sincere_P2,Sincere_P3,Sincere_P4,Sincere_P5,Sincere_P6,Sincere_P7,Temper_Self,Temper_Mate,Temper_P1,Temper_P2,Temper_P3,Temper_P4,Temper_P5,Temper_P6,Temper_P7,Entertaining_Self,Entertaining_Mate,Entertaining_P1,Entertaining_P2,Entertaining_P3,Entertaining_P4,Entertaining_P5,Entertaining_P6,Entertaining_P7,Vanity_Self,Vanity_Mate,Vanity_P1,Vanity_P2,Vanity_P3,Vanity_P4,Vanity_P5,Vanity_P6,Vanity_P7,Tact_Self,Tact_Mate,Tact_P1,Tact_P2,Tact_P3,Tact_P4,Tact_P5,Tact_P6,Tact_P7,Tolerant_Self,Tolerant_Mate,Tolerant_P1,Tolerant_P2,Tolerant_P3,Tolerant_P4,Tolerant_P5,Tolerant_P6,Tolerant_P7,Humor_Self,Humor_Mate,Humor_P1,Humor_P2,Humor_P3,Humor_P4,Humor_P5,Humor_P6,Humor_P7,Dependable_Self,Dependable_Mate,Dependable_P1,Dependable_P2,Dependable_P3,Dependable_P4,Dependable_P5,Dependable_P6,Dependable_P7,Unselfish_Self,Unselfish_Mate,Unselfish_P1,Unselfish_P2,Unselfish_P3,Unselfish_P4,Unselfish_P5,Unselfish_P6,Unselfish_P7,C_PEER,C_SELF,A_Peer,A_Self,E_Peer,E_Self,N_Peer,N_Self,O_Peer,O_Self,FatherOccupation,ChildSES,Income,Schooling,OccupationStatus,Earnings,ZC_PEER,ZC_SELF,ZA_Peer,ZA_Self,ZE_Peer,ZE_Self,ZN_Peer,ZN_Self,ZO_Peer,ZO_Self
1,001B,M001,78.17907996,1,119,1,13,6,13,21,12,7,16,999,999,22,19,18,22,15,19,20,999,999,19,12,15,23,10,7,22,999,999,22,12,15,21,25,14,18,999,999,15,12,13,20,6,18,18,999,999,22,24,19,23,23,23,19,999,999,19,18,15,22,18,19,19,999,999,19,7,16,21,16,14,20,999,999,18,13,10,23,25,8,999,999,999,20,2,14,18,18,13,16,999,999,21,20,14,24,22,19,21,999,999,24,20,12,23,999,19,999,999,999,12,12,13,22,15,14,13,999,999,22,24,16,23,25,19,999,999,999,17,12,14,15,18,15,13,999,999,21,12,15,20,12,10,11,999,999,19,19,14,20,18,17,19,999,999,20,24,12,7,12,15,7,999,999,24,24,16,24,25,23,21,999,999,19,12,16,22,19,8,18,999,999,18,24,9,22,20,22,999,999,999,21,25,20,24,20,21,21,999,999,19,12,14,23,19,21,17,999,999,22,25,15,24,23,17,19,999,999,19,12,16,12,12,9,18,999,999,24,25,20,24,25,24,20,999,999,16,12,14,23,19,22,13,999,999,24,25,15,24,25,22,23,999,999,22,24,18,24,25,24,17,999,999,22,12,18,24,19,16,14,999,999,21,24,17,23,25,17,13,999,999,21,20,16,24,19,18,999,999,999,22,12,15,22,20,18,999,999,999,22,19,19,23,23,17,17,999,999,20,24,18,24,22,22,999,999,999,22,19,18,22,23,23,999,999,999,.437,.825,.845,3.584,.548,1.494,1.507,6.459,1.523,2.607,8,5,1,8,2,7,.249870527701373,.515957432382809,1.12780322137208,1.54625920863986,.738329692814509,.978968984182952,1.65042699428144,1.65558153423866,.905145653858937,.993173101718862
2,002B,M002,85.1067908,1,127,1,25,23,22,25,21,23,17,999,999,22,18,18,18,23,22,15,999,999,23,13,20,25,24,24,20,999,999,20,23,25,12,18,11,15,999,999,12,17,16,12,12,12,12,999,999,2,3,6,5,9,7,10,999,999,16,9,10,18,15,16,5,999,999,1,1,0,0,1,0,7,999,999,13,1,7,12,18,18,12,999,999,25,24,21,25,24,25,18,999,999,12,10,9,25,24,11,12,999,999,8,6,12,12,12,16,13,999,999,16,12,17,19,19,16,16,999,999,20,19,24,25,24,18,13,999,999,18,19,15,25,24,16,12,999,999,18,12,18,23,19,17,14,999,999,24,24,17,25,24,22,16,999,999,22,16,22,16,18,6,8,999,999,23,23,12,25,20,19,12,999,999,10,2,12,12,12,14,13,999,999,13,4,6,7,17,9,9,999,999,23,19,12,25,21,22,12,999,999,23,21,17,25,24,21,10,999,999,24,21,22,19,18,15,12,999,999,1,1,1,5,3,2,7,999,999,16,20,23,25,22,17,10,999,999,9,6,6,9,9,11,9,999,999,23,25,25,25,24,22,13,999,999,11,8,12,12,12,9,12,999,999,18,20,18,20,18,12,13,999,999,14,7,3,12,13,11,2,999,999,5,1,12,23,18,11,12,999,999,15,9,6,7,11,10,9,999,999,23,16,24,25,23,16,13,999,999,23,21,15,25,24,9,12,999,999,19,12,19,12,19,11,7,999,999,.918,1.861,-.65,-1.451,-.493,1.028,-1.598,-5.578,3.127,4.648,5,3,1,8,1,9,.631596592189685,1.33139759624714,-.762066102461379,-.631424462401065,-.596518622076576,.683476801177166,-1.9965858731441,-1.76808634588239,1.93651389047459,1.86459105509639
3,003B,M003,76.64019715,1,116,1,22,19,24,23,21,23,18,999,999,21,21,21,19,20,24,25,999,999,6,15,12,14,8,22,25,999,999,12,20,12,20,12,23,25,999,999,12,18,16,12,15,20,17,999,999,17,12,14,12,12,21,22,999,999,18,22,13,18,20,21,22,999,999,0,1,8,12,12,12,12,999,999,25,21,25,25,25,25,25,999,999,24,21,24,21,24,25,25,999,999,23,24,25,12,12,25,25,999,999,9,7,12,21,11,24,19,999,999,12,20,12,12,15,19,25,999,999,24,22,24,25,14,25,25,999,999,21,24,20,19,19,19,25,999,999,14,12,13,12,12,19,25,999,999,23,20,24,23,18,25,25,999,999,18,19,15,20,22,18,12,999,999,21,17,24,25,12,25,25,999,999,19,12,16,12,20,22,25,999,999,7,6,17,6,12,21,18,999,999,24,25,17,17,24,25,25,999,999,24,20,22,16,25,25,21,999,999,8,21,15,19,22,25,25,999,999,9,6,13,10,7,13,13,999,999,22,19,24,12,20,25,20,999,999,19,17,12,11,20,10,12,999,999,24,25,22,22,18,25,25,999,999,20,12,21,11,11,24,25,999,999,18,25,19,20,18,21,25,999,999,5,18,13,4,10,24,24,999,999,22,18,19,12,6,19,25,999,999,21,18,16,12,11,22,19,999,999,24,25,23,17,24,24,25,999,999,23,24,24,25,24,25,25,999,999,12,19,16,23,25,24,25,999,999,2.735,1.97,.593,1.732,.498,-.082,.479,1.558,3.594,4.765,5,6,6,8,2,7,2.07358465700312,1.41719197642206,.809243308592124,.745252225766418,.67421594089851,-.0203779695018511,.442977967642649,.261596630984254,2.23679379477603,1.91454495051293
4,004B,M004,82.96276013,1,102,1,23,18,23,12,25,24,23,999,999,22,17,20,15,24,23,18,999,999,18,20,16,16,14,23,20,999,999,12,17,9,18,18,19,20,999,999,14,15,16,9,14,21,17,999,999,22,23,18,21,22,24,18,999,999,14,14,17,8,14,19,11,999,999,1,5,9,6,14,13,12,999,999,13,13,23,8,23,23,21,999,999,22,21,19,12,24,24,14,999,999,14,15,23,13,22,12,11,999,999,20,22,18,12,19,23,17,999,999,15,17,16,14,21,18,6,999,999,22,23,18,20,23,23,21,999,999,14,14,16,10,18,18,8,999,999,13,10,9,5,13,13,18,999,999,24,23,22,20,23,24,23,999,999,9,21,9,14,18,13,13,999,999,23,22,22,18,25,23,23,999,999,12,13,20,2,13,18,9,999,999,23,18,22,18,23,20,10,999,999,22,20,18,18,24,23,12,999,999,24,21,16,13,9,16,9,999,999,22,22,18,16,24,24,22,999,999,6,11,16,14,14,12,8,999,999,21,17,18,17,23,24,18,999,999,11,13,23,18,12,14,10,999,999,24,20,19,21,25,23,21,999,999,24,23,22,18,22,23,17,999,999,21,12,16,5,11,12,18,999,999,21,12,16,5,11,12,18,999,999,10,13,9,19,14,21,4,999,999,11,12,22,7,15,12,7,999,999,22,21,17,17,15,19,5,999,999,24,21,22,19,24,23,24,999,999,20,17,20,19,20,23,22,999,999,2.304,2.37,-.342,-.373,-.333,-.806,1.312,6.794,1.459,3.002,5,9,6,999,999,999,1.73153905659884,1.73203373853184,-.372715097952546,-.165179577121597,-.391354615945381,-.479468828935732,1.42138753883926,1.75086513811342,.863993804018911,1.16182086829609
5,005B,M005,62.2645126,1,113,1,19,22,15,19,17,13,22,999,999,19,18,14,19,21,20,22,999,999,20,19,14,15,14,17,19,999,999,19,14,10,20,11,17,21,999,999,12,12,10,14,17,13,10,999,999,23,24,11,19,8,22,22,999,999,18,12,5,16,15,18,14,999,999,3,12,9,12,8,7,12,999,999,6,9,0,7,4,8,9,999,999,18,24,13,21,17,20,10,999,999,19,24,2,18,19,17,13,999,999,15,19,23,16,10,12,20,999,999,12,12,13,18,16,16,14,999,999,20,24,12,22,10,22,14,999,999,17,17,13,17,19,18,12,999,999,15,13,9,14,15,18,9,999,999,25,19,5,20,21,23,1,999,999,24,20,7,21,14,13,11,999,999,23,24,14,24,18,17,24,999,999,15,20,22,11,19,12,4,999,999,24,24,19,7,11,24,24,999,999,23,24,10,23,9,23,24,999,999,24,18,1,23,14,18,5,999,999,21,24,4,21,18,18,20,999,999,20,12,16,8,19,10,18,999,999,22,24,2,16,13,21,10,999,999,12,16,14,12,17,20,22,999,999,20,24,5,23,13,19,22,999,999,23,24,15,18,11,22,24,999,999,18,18,4,20,15,19,10,999,999,16,17,1,20,8,21,25,999,999,15,19,1,12,10,20,20,999,999,12,24,1,18,11,6,14,999,999,22,23,11,12,16,22,0,999,999,24,24,1,23,10,17,14,999,999,19,19,1,22,11,18,12,999,999,-.846,1.704,-1.057,1.09,-.61,.793,.78,5.769,.751,1.513,5,7,6,7,5,6,-.768330180694688,1.20782220461905,-1.27656564413376,.467581338614824,-.746544801560012,.534462502880257,.796520921940584,1.45932575312347,.408751465163622,.526082831755602
6,006B,M006,41.00766703,1,114,1,15,15,12,22,13,18,12,999,999,19,20,12,14,14,18,13,999,999,17,13,16,18,11,19,15,999,999,20,21,16,22,12,22,17,999,999,12,12,12,12,11,17,12,999,999,12,22,19,11,16,23,21,999,999,17,13,12,17,12,20,14,999,999,10,17,12,5,20,13,10,999,999,12,12,24,11,16,23,10,999,999,20,22,7,17,16,23,13,999,999,19,24,9,18,16,19,18,999,999,4,13,13,21,14,16,14,999,999,12,12,9,12,14,20,16,999,999,22,24,17,25,16,25,21,999,999,21,14,11,14,11,20,14,999,999,14,22,12,11,12,12,13,999,999,17,24,19,22,15,22,21,999,999,15,24,20,16,17,15,10,999,999,17,20,19,23,13,25,15,999,999,19,23,20,13,14,12,19,999,999,12,22,19,11,15,19,16,999,999,22,20,18,11,12,20,17,999,999,15,20,12,12,10,19,14,999,999,20,23,22,25,15,17,13,999,999,22,12,19,12,12,13,13,999,999,22,24,19,24,15,12,13,999,999,11,12,14,9,15,13,13,999,999,20,21,19,25,16,25,13,999,999,11,23,18,22,17,25,14,999,999,12,21,7,14,9,13,18,999,999,13,12,10,14,10,20,10,999,999,19,12,7,8,16,22,12,999,999,14,12,18,18,11,12,4,999,999,19,24,12,16,12,25,19,999,999,18,24,23,23,18,25,16,999,999,23,24,12,22,12,25,2,999,999,.961,.145,-.288,2.576,-.045,.835,.268,-2.287,-.827,.32,5,7,2,999,999,999,.665721791301946,-.0192735632038205,-.304452259499699,1.11028996526166,-.0220594049092312,.561094845554598,.195145531241107,-.832031598563427,-.605898832454522,.0167238810552659
7,007B,M007,89.26615553,1,107,1,24,23,21,21,22,21,19,999,999,16,18,20,22,23,19,19,999,999,19,23,23,19,24,22,20,999,999,12,12,14,18,10,22,24,999,999,12,13,14,18,12,12,19,999,999,7,11,5,11,8,19,13,999,999,12,13,17,17,24,15,19,999,999,12,7,12,13,16,2,3,999,999,24,23,17,13,11,13,9,999,999,24,21,24,17,24,17,12,999,999,11,23,20,14,19,15,13,999,999,18,17,14,15,14,23,17,999,999,18,24,5,12,14,18,7,999,999,21,20,11,16,23,13,7,999,999,12,18,20,17,22,19,15,999,999,12,20,22,21,20,15,14,999,999,24,24,25,23,24,16,8,999,999,18,12,6,11,15,12,11,999,999,12,22,17,16,14,12,13,999,999,12,12,19,18,23,14,19,999,999,3,23,2,16,12,11,6,999,999,12,21,20,22,20,17,19,999,999,20,23,16,19,21,19,7,999,999,12,20,16,18,22,22,19,999,999,5,13,10,14,11,12,11,999,999,7,11,5,16,3,17,14,999,999,15,13,10,14,11,12,11,999,999,24,21,24,18,22,13,19,999,999,8,14,4,12,15,20,6,999,999,18,19,23,19,21,18,19,999,999,9,14,17,6,18,12,13,999,999,11,12,21,18,17,17,13,999,999,12,24,19,15,21,22,10,999,999,16,20,22,15,24,21,19,999,999,24,23,17,17,23,16,12,999,999,10,18,11,18,21,12,13,999,999,.293,1.645,-.336,-3.658,.168,-1.087,-1.326,-5.868,1.358,.825,6,3,5,8,4,6,.135590791139383,1.16138304470786,-.365130338124452,-1.58597220063092,.251065178252922,-.657651883495015,-1.677105196835,-1.85057065968443,.79905104099012,.232336848451469
7,007B,M008,60.03833516,1,112,1,19,25,16,19,23,24,25,999,999,15,11,15,13,16,17,13,999,999,19,18,13,15,17,24,15,999,999,19,12,14,12,24,17,16,999,999,12,12,12,12,15,15,14,999,999,9,6,10,6,15,12,2,999,999,16,14,12,12,24,15,16,999,999,9,6,15,12,12,3,13,999,999,18,12,10,14,24,6,10,999,999,14,19,14,18,25,12,15,999,999,19,19,12,15,20,8,12,999,999,2,4,12,7,25,17,7,999,999,15,11,13,12,17,18,12,999,999,16,15,13,11,25,16,9,999,999,17,12,15,11,6,14,12,999,999,12,15,9,12,8,19,17,999,999,17,20,16,18,24,10,8,999,999,21,18,11,11,24,18,21,999,999,18,23,12,18,25,17,16,999,999,12,12,4,14,22,18,10,999,999,8,6,11,6,23,7,2,999,999,13,12,12,12,22,14,13,999,999,14,12,12,15,16,16,8,999,999,12,17,14,12,24,23,16,999,999,12,12,13,14,12,22,15,999,999,15,12,12,11,25,16,10,999,999,9,8,8,11,7,2,2,999,999,20,14,11,11,25,12,15,999,999,11,13,9,11,22,16,10,999,999,17,14,12,13,16,17,14,999,999,13,12,11,12,23,8,3,999,999,12,9,12,12,19,6,6,999,999,10,14,9,12,17,11,10,999,999,18,15,19,14,25,24,14,999,999,16,20,14,14,25,7,12,999,999,21,15,12,11,24,6,11,999,999,-1.524,-.784,-1.391,-.433,.235,.848,-1.151,-5.078,-1.653,-1.481,4,6,5,999,999,999,-1.30639727367406,-.750493555703789,-1.698783941231,-.191130127322681,.336977605820359,.569338189715704,-1.47155696759201,-1.62587201174095,-1.13701489445236,-.752224543262677
8,008B,M009,66.99342826,1,88,1,11,19,15,15,20,19,20,999,999,16,21,12,17,22,22,20,999,999,20,20,22,24,24,20,22,999,999,24,24,19,19,15,17,16,999,999,12,14,19,14,15,18,15,999,999,22,19,15,12,21,19,9,999,999,12,14,17,15,21,18,16,999,999,1,4,9,12,12,6,9,999,999,6,23,24,16,20,21,18,999,999,22,25,12,15,25,23,21,999,999,24,22,24,23,24,25,23,999,999,5,5,13,16,12,13,21,999,999,12,12,20,12,21,18,20,999,999,22,23,14,19,24,22,21,999,999,21,21,12,20,19,23,18,999,999,19,21,18,14,20,20,17,999,999,23,25,22,11,24,25,23,999,999,23,21,12,12,18,14,14,999,999,23,22,12,16,18,25,23,999,999,20,14,24,23,24,22,22,999,999,21,18,12,12,4,18,8,999,999,18,15,13,12,22,22,23,999,999,21,14,12,12,21,8,20,999,999,11,20,16,16,15,19,21,999,999,5,20,22,23,18,15,18,999,999,23,22,15,16,22,21,22,999,999,15,6,9,16,12,13,18,999,999,25,17,12,19,22,21,23,999,999,19,23,12,22,14,18,22,999,999,14,11,14,16,12,19,19,999,999,12,9,3,6,9,12,14,999,999,17,20,22,18,19,22,18,999,999,18,5,12,11,12,19,16,999,999,20,22,18,24,12,22,21,999,999,22,22,24,22,19,24,23,999,999,22,22,11,15,20,23,21,999,999,1.791,1.778,1.269,3.707,.027,.268,.522,2.345,.56,1.345,4,7,7,3,4,9,1.32441749509675,1.26606793060936,1.66379291589073,1.59945783655208,.0702643978498064,.201558219450992,.493484103970926,.485441992922882,.285938913297294,.454354161413895
9,009B,M010,86.04600219,1,110,1,19,23,15,15,23,24,16,999,999,19,22,18,17,23,24,17,999,999,23,24,24,23,23,24,20,999,999,20,24,18,19,24,24,19,999,999,16,16,15,15,24,19,12,999,999,19,12,13,14,24,13,18,999,999,19,21,15,17,23,13,999,999,999,21,14,12,14,16,20,999,999,999,12,11,12,3,1,13,12,999,999,22,24,15,20,24,24,6,999,999,23,18,16,21,24,24,17,999,999,7,12,12,12,24,13,999,999,999,21,16,15,16,23,24,12,999,999,22,24,15,9,24,13,13,999,999,17,18,14,17,24,19,9,999,999,18,18,12,14,24,22,13,999,999,16,24,13,13,24,24,16,999,999,20,18,18,18,24,13,10,999,999,14,24,17,8,15,999,999,999,999,18,19,16,16,24,19,17,999,999,15,16,12,10,23,12,12,999,999,20,23,14,17,999,24,17,999,999,23,24,13,17,22,20,17,999,999,17,18,14,16,21,21,19,999,999,14,5,12,15,21,4,12,999,999,23,22,16,19,21,20,20,999,999,10,12,13,9,2,12,12,999,999,18,24,16,8,21,13,10,999,999,10,18,15,18,22,12,16,999,999,21,24,21,19,21,20,14,999,999,8,6,8,8,4,12,12,999,999,22,20,18,20,22,21,18,999,999,14,24,14,10,22,12,12,999,999,24,24,14,18,23,24,14,999,999,17,22,9,9,23,21,12,999,999,12,19,19,11,19,12,11,999,999,-.271,-.081,.648,2.352,1.042,1.847,-.055,-1.539,1.791,2.35,6,6,8,7,5,5,-.31200484372841,-.197159158795847,.878770273682987,1.01340791117761,1.37177356174457,1.20280748332682,-.184237771875946,-.619278954687831,1.07746902506405,.883445314350893
