ID,posT1,posT2,posT3,posT4,negT1,negT2,negT3,negT4,gender,group
1,3.54625,3.32401,3.4372,3.35268,2.96313,2.7762,2.17944,1.77418,1,1
2,4.58333,5.045,4.61,4.93734,2.6,1,1.53333,1.83572,0,1
3,3.5,3.87833,3.44333,4.52062,1.8,2,3.33333,2.14617,0,0
4,4.24238,3.545,3.44333,3.59334,2.01931,2.70095,2,1.96794,1,0
5,1.6764,4.29531,3.31144,3.43549,2.32634,2.65762,2.11932,1.00005,1,1
6,4.83333,4.71167,4.77667,4.35506,1.46667,2.6,1,1.92318,0,1
7,4.5,1.71167,2.36,4.24669,2.06667,1.93333,2.46667,1.95976,1,0
8,3.43239,2.65598,2.19725,4.38442,2.08587,1.59079,1.75285,1.96886,0,1
9,3.47222,4.21167,3.44333,4.45874,1.26667,1.24444,1.33333,1.44416,0,1
10,4.06777,4.04505,3.11086,2.83897,2.37789,2.63272,1.74983,2.45999,0,0
11,4.91667,4.295,4.08222,4.50537,1.46667,2.06667,1.66667,1.14014,1,0
12,3.73767,5.045,4.86,4.97386,1.23291,1.86895,1.13333,2.2483,0,0
13,4,4.545,4.44333,4.96321,2.33333,1.6,1.53333,1.57597,0,0
14,2.45878,2.85545,3.06683,3.37501,2.66951,3.28987,3.00857,1.00887,1,1
15,3.37823,3.045,2.21565,4.21695,2.22176,2.92676,1.61203,2.39027,0,1
16,1.91667,2.37833,4.86,1.98451,3.53333,1.46667,1.93333,2.17141,1,1
17,4.33333,3.41519,4.15831,4.66725,4.28637,2.4,1.96053,1.0101,0,1
18,2.5,4.62833,3.61,4.52928,1.26667,1.2,1.73333,1.5327,1,0
19,4.19172,4.295,3.27667,2.66731,1.72804,1.62414,2.73333,2.71237,1,0
20,3.67703,4.41266,2.83196,3.302,2.01817,1.01244,1.14048,1.41306,1,0
21,4.08333,3.4702,4.27077,3.79512,3,1.8,1.99005,1.82968,0,0
22,4.95593,3.69497,4.55836,4.48973,1.7,2.24156,1.01401,2.74124,0,1
23,2.16667,2.76025,3.86133,3.07988,1.53333,1,1.62104,1.51964,1,1
24,3.51356,3.96167,3.27667,4.2031,4.39138,1.40143,1,1.89566,0,0
25,4.62642,4.87833,2.77667,4.85494,1.66667,1.97372,1.53333,1.55732,1,0
26,1.99895,3.07937,4.74893,4.03075,1.49989,1.43555,1.31679,2.07326,0,1
27,4.43792,2.56942,2.84939,2.71543,2.31179,2.01395,2.19545,2.89937,1,1
28,3.74523,3.65624,3.71644,4.64897,2.39514,1.66492,1.02575,2.40852,0,1
29,3.35336,4.40096,3.69333,1.82138,2.1556,3.25032,3.66667,2.28264,1,1
30,3.51922,4.23639,4.52654,2.73087,1.86031,1.51594,1.74433,1.19837,0,0
31,4.86338,4.1822,4.61,4.71159,2.26895,1.42873,1.26667,1.83867,1,1
32,4.97568,4.295,4.44333,4.83333,3.94744,3.51528,1.26667,1,1,0
33,4.77145,4.61624,5.02654,4.41667,2.33612,2.41191,2.23219,1.93333,0,0
34,4.59431,2.545,4.19333,2.91667,3.4915,3.59039,2.26667,2.6,0,0
35,4.31247,2.81678,4.01528,3.58333,1.17734,1.05633,2.77432,3.33333,1,0
36,4.76517,4.42767,4.04713,3.77035,1.63605,2.99257,1.03887,1.94249,0,1
37,4.93534,4.88008,4.94333,4.58333,3.10145,2.83029,2.13333,2.2,1,1
38,4.31005,3.55463,4.12676,3.51029,2.16297,2.81182,1.5785,1.92044,0,0
39,4.97927,3.34203,2.44333,3.75,1.85289,3.72038,1.26667,1.2,1,0
40,2.63996,3.96255,3.18233,4.72091,2.8751,1.43766,1.50895,1.32284,1,0
41,3.5,4.045,1.53566,4.44576,3.86667,1.86667,1.38634,2.13478,0,0
42,4.98539,4.295,4.52667,4.50463,3.94078,3.63149,1,1.21561,1,1
43,4.75338,4.21167,4.11,4.5,1.72755,3.30013,2.66667,2.13333,0,0
44,4.988,4.32156,3.47103,3.70487,1.42852,3.0407,1.66167,2.43256,0,1
45,4.423,3.07092,3.21427,3.72592,1.42453,2.65314,2.11157,1.70798,1,0
46,3.17078,3.87833,4.61,3.5,2.26225,1.03209,2.26667,1.26667,1,0
47,4.5,4.71167,4.69333,4.83333,3.49181,4.53333,3,1.13333,1,1
48,3.16667,4.62833,3.77667,3.66667,1.00233,2.2,2.06667,2.66667,0,0
49,3.41667,3.37729,3.37967,4.34013,2.01753,1.2,2.60086,1.05703,0,0
50,3.8764,4.87833,4.69333,2.66667,2.23061,2.10975,2,1.46667,1,0
51,2.47242,3.60056,3.44333,3.53358,3.03063,2.91291,2.93333,2.42325,0,1
52,3.02444,3.30895,3.08308,4.59549,1.91513,2.63369,2.41988,1.75596,0,0
53,2.25,2.08783,2.85043,4.43996,3.09056,3,2.3876,3.9457,1,0
54,4.40998,4.54759,3.91105,4.19521,1.55704,1.78816,1.51848,1.28835,1,0
55,4.33333,4.0524,5.07172,4.02971,2.85213,4.06667,3.06694,1.90926,1,1
56,2.21756,2.37833,2.44333,3.75362,1.43604,1.21674,1.8,1.86667,1,1
57,4,4.33592,4.83961,3.41667,3.43078,3.13333,3.68174,2.66667,1,1
58,4,3.295,3.69638,4.13455,1.13316,1.13333,1.95015,1.35926,0,0
