ID,gender,group,time,neg,pos
1,1,1,1,2.96313,3.54625
1,1,1,2,2.7762,3.32401
1,1,1,3,2.17944,3.4372
1,1,1,4,1.77418,3.35268
2,0,1,1,2.6,4.58333
2,0,1,2,1,5.045
2,0,1,3,1.53333,4.61
2,0,1,4,1.83572,4.93734
3,0,0,1,1.8,3.5
3,0,0,2,2,3.87833
3,0,0,3,3.33333,3.44333
3,0,0,4,2.14617,4.52062
4,1,0,1,2.01931,4.24238
4,1,0,2,2.70095,3.545
4,1,0,3,2,3.44333
4,1,0,4,1.96794,3.59334
5,1,1,1,2.32634,1.6764
5,1,1,2,2.65762,4.29531
5,1,1,3,2.11932,3.31144
5,1,1,4,1.00005,3.43549
6,0,1,1,1.46667,4.83333
6,0,1,2,2.6,4.71167
6,0,1,3,1,4.77667
6,0,1,4,1.92318,4.35506
7,1,0,1,2.06667,4.5
7,1,0,2,1.93333,1.71167
7,1,0,3,2.46667,2.36
7,1,0,4,1.95976,4.24669
8,0,1,1,2.08587,3.43239
8,0,1,2,1.59079,2.65598
8,0,1,3,1.75285,2.19725
8,0,1,4,1.96886,4.38442
9,0,1,1,1.26667,3.47222
9,0,1,2,1.24444,4.21167
9,0,1,3,1.33333,3.44333
9,0,1,4,1.44416,4.45874
10,0,0,1,2.37789,4.06777
10,0,0,2,2.63272,4.04505
10,0,0,3,1.74983,3.11086
10,0,0,4,2.45999,2.83897
11,1,0,1,1.46667,4.91667
11,1,0,2,2.06667,4.295
11,1,0,3,1.66667,4.08222
11,1,0,4,1.14014,4.50537
12,0,0,1,1.23291,3.73767
12,0,0,2,1.86895,5.045
12,0,0,3,1.13333,4.86
12,0,0,4,2.2483,4.97386
13,0,0,1,2.33333,4
13,0,0,2,1.6,4.545
13,0,0,3,1.53333,4.44333
13,0,0,4,1.57597,4.96321
14,1,1,1,2.66951,2.45878
14,1,1,2,3.28987,2.85545
14,1,1,3,3.00857,3.06683
14,1,1,4,1.00887,3.37501
15,0,1,1,2.22176,3.37823
15,0,1,2,2.92676,3.045
15,0,1,3,1.61203,2.21565
15,0,1,4,2.39027,4.21695
16,1,1,1,3.53333,1.91667
16,1,1,2,1.46667,2.37833
16,1,1,3,1.93333,4.86
16,1,1,4,2.17141,1.98451
17,0,1,1,4.28637,4.33333
17,0,1,2,2.4,3.41519
17,0,1,3,1.96053,4.15831
17,0,1,4,1.0101,4.66725
18,1,0,1,1.26667,2.5
18,1,0,2,1.2,4.62833
18,1,0,3,1.73333,3.61
18,1,0,4,1.5327,4.52928
19,1,0,1,1.72804,4.19172
19,1,0,2,1.62414,4.295
19,1,0,3,2.73333,3.27667
19,1,0,4,2.71237,2.66731
20,1,0,1,2.01817,3.67703
20,1,0,2,1.01244,4.41266
20,1,0,3,1.14048,2.83196
20,1,0,4,1.41306,3.302
21,0,0,1,3,4.08333
21,0,0,2,1.8,3.4702
21,0,0,3,1.99005,4.27077
21,0,0,4,1.82968,3.79512
22,0,1,1,1.7,4.95593
22,0,1,2,2.24156,3.69497
22,0,1,3,1.01401,4.55836
22,0,1,4,2.74124,4.48973
23,1,1,1,1.53333,2.16667
23,1,1,2,1,2.76025
23,1,1,3,1.62104,3.86133
23,1,1,4,1.51964,3.07988
24,0,0,1,4.39138,3.51356
24,0,0,2,1.40143,3.96167
24,0,0,3,1,3.27667
24,0,0,4,1.89566,4.2031
25,1,0,1,1.66667,4.62642
25,1,0,2,1.97372,4.87833
25,1,0,3,1.53333,2.77667
25,1,0,4,1.55732,4.85494
26,0,1,1,1.49989,1.99895
26,0,1,2,1.43555,3.07937
26,0,1,3,1.31679,4.74893
26,0,1,4,2.07326,4.03075
27,1,1,1,2.31179,4.43792
27,1,1,2,2.01395,2.56942
27,1,1,3,2.19545,2.84939
27,1,1,4,2.89937,2.71543
28,0,1,1,2.39514,3.74523
28,0,1,2,1.66492,3.65624
28,0,1,3,1.02575,3.71644
28,0,1,4,2.40852,4.64897
29,1,1,1,2.1556,3.35336
29,1,1,2,3.25032,4.40096
29,1,1,3,3.66667,3.69333
29,1,1,4,2.28264,1.82138
30,0,0,1,1.86031,3.51922
30,0,0,2,1.51594,4.23639
30,0,0,3,1.74433,4.52654
30,0,0,4,1.19837,2.73087
31,1,1,1,2.26895,4.86338
31,1,1,2,1.42873,4.1822
31,1,1,3,1.26667,4.61
31,1,1,4,1.83867,4.71159
32,1,0,1,3.94744,4.97568
32,1,0,2,3.51528,4.295
32,1,0,3,1.26667,4.44333
32,1,0,4,1,4.83333
33,0,0,1,2.33612,4.77145
33,0,0,2,2.41191,4.61624
33,0,0,3,2.23219,5.02654
33,0,0,4,1.93333,4.41667
34,0,0,1,3.4915,4.59431
34,0,0,2,3.59039,2.545
34,0,0,3,2.26667,4.19333
34,0,0,4,2.6,2.91667
35,1,0,1,1.17734,4.31247
35,1,0,2,1.05633,2.81678
35,1,0,3,2.77432,4.01528
35,1,0,4,3.33333,3.58333
36,0,1,1,1.63605,4.76517
36,0,1,2,2.99257,4.42767
36,0,1,3,1.03887,4.04713
36,0,1,4,1.94249,3.77035
37,1,1,1,3.10145,4.93534
37,1,1,2,2.83029,4.88008
37,1,1,3,2.13333,4.94333
37,1,1,4,2.2,4.58333
38,0,0,1,2.16297,4.31005
38,0,0,2,2.81182,3.55463
38,0,0,3,1.5785,4.12676
38,0,0,4,1.92044,3.51029
39,1,0,1,1.85289,4.97927
39,1,0,2,3.72038,3.34203
39,1,0,3,1.26667,2.44333
39,1,0,4,1.2,3.75
40,1,0,1,2.8751,2.63996
40,1,0,2,1.43766,3.96255
40,1,0,3,1.50895,3.18233
40,1,0,4,1.32284,4.72091
41,0,0,1,3.86667,3.5
41,0,0,2,1.86667,4.045
41,0,0,3,1.38634,1.53566
41,0,0,4,2.13478,4.44576
42,1,1,1,3.94078,4.98539
42,1,1,2,3.63149,4.295
42,1,1,3,1,4.52667
42,1,1,4,1.21561,4.50463
43,0,0,1,1.72755,4.75338
43,0,0,2,3.30013,4.21167
43,0,0,3,2.66667,4.11
43,0,0,4,2.13333,4.5
44,0,1,1,1.42852,4.988
44,0,1,2,3.0407,4.32156
44,0,1,3,1.66167,3.47103
44,0,1,4,2.43256,3.70487
45,1,0,1,1.42453,4.423
45,1,0,2,2.65314,3.07092
45,1,0,3,2.11157,3.21427
45,1,0,4,1.70798,3.72592
46,1,0,1,2.26225,3.17078
46,1,0,2,1.03209,3.87833
46,1,0,3,2.26667,4.61
46,1,0,4,1.26667,3.5
47,1,1,1,3.49181,4.5
47,1,1,2,4.53333,4.71167
47,1,1,3,3,4.69333
47,1,1,4,1.13333,4.83333
48,0,0,1,1.00233,3.16667
48,0,0,2,2.2,4.62833
48,0,0,3,2.06667,3.77667
48,0,0,4,2.66667,3.66667
49,0,0,1,2.01753,3.41667
49,0,0,2,1.2,3.37729
49,0,0,3,2.60086,3.37967
49,0,0,4,1.05703,4.34013
50,1,0,1,2.23061,3.8764
50,1,0,2,2.10975,4.87833
50,1,0,3,2,4.69333
50,1,0,4,1.46667,2.66667
51,0,1,1,3.03063,2.47242
51,0,1,2,2.91291,3.60056
51,0,1,3,2.93333,3.44333
51,0,1,4,2.42325,3.53358
52,0,0,1,1.91513,3.02444
52,0,0,2,2.63369,3.30895
52,0,0,3,2.41988,3.08308
52,0,0,4,1.75596,4.59549
53,1,0,1,3.09056,2.25
53,1,0,2,3,2.08783
53,1,0,3,2.3876,2.85043
53,1,0,4,3.9457,4.43996
54,1,0,1,1.55704,4.40998
54,1,0,2,1.78816,4.54759
54,1,0,3,1.51848,3.91105
54,1,0,4,1.28835,4.19521
55,1,1,1,2.85213,4.33333
55,1,1,2,4.06667,4.0524
55,1,1,3,3.0669400000000002,5.07172
55,1,1,4,1.90926,4.02971
56,1,1,1,1.43604,2.21756
56,1,1,2,1.21674,2.37833
56,1,1,3,1.8,2.44333
56,1,1,4,1.86667,3.75362
57,1,1,1,3.43078,4
57,1,1,2,3.13333,4.33592
57,1,1,3,3.68174,4.83961
57,1,1,4,2.66667,3.41667
58,0,0,1,1.13316,4
58,0,0,2,1.13333,3.295
58,0,0,3,1.95015,3.69638
58,0,0,4,1.35926,4.13455
59,0,1,1,1.34224,4.64006
59,0,1,2,2.42267,4.88284
59,0,1,3,2.06667,4.77667
59,0,1,4,2.26667,4.58333
60,1,1,1,2.41799,1.99053
60,1,1,2,2.45268,3.12282
60,1,1,3,2.6625,3.81409
60,1,1,4,1.50333,4.66182
61,0,0,1,3.00471,3.55878
61,0,0,2,3.06992,3.3475
61,0,0,3,2.06667,3.27667
61,0,0,4,2.21327,3.56272
62,1,1,1,2.45191,2.29605
62,1,1,2,2.26335,3.32138
62,1,1,3,2.4,2.61
62,1,1,4,2.03447,3.34562
63,1,1,1,2.35445,2.91311
63,1,1,2,2.26159,4.3138
63,1,1,3,1.86667,3.77667
63,1,1,4,1.91828,3.34638
64,0,1,1,1.27841,4.35321
64,0,1,2,1.45625,3.84979
64,0,1,3,1.33333,3.94333
64,0,1,4,1.26667,3.5
65,1,1,1,2.2869,4.15274
65,1,1,2,2.22215,4.15137
65,1,1,3,1.46667,3.77667
65,1,1,4,1.41667,4.66667
66,1,0,1,2.03824,3.79227
66,1,0,2,2.78818,3.73706
66,1,0,3,1.66667,2.94333
66,1,0,4,1.06667,4.5
67,1,1,1,1.5257,2.08507
67,1,1,2,1.10769,3.29523
67,1,1,3,2.06667,3.80444
67,1,1,4,2.4,3.58333
68,1,0,1,2.39425,3.73109
68,1,0,2,1.90085,4.2851
68,1,0,3,2.26667,5.02667
68,1,0,4,2.95828,4.52236
69,1,0,1,2.21372,4.71858
69,1,0,2,2.50716,3.37274
69,1,0,3,2.66667,3.36
69,1,0,4,1,3.66667
70,0,0,1,3.13527,2.43296
70,0,0,2,2.6201,2.96029
70,0,0,3,3.8,2.52667
70,0,0,4,2.30728,3.55702
71,0,0,1,3.0673,1.93716
71,0,0,2,1.00947,4.2232
71,0,0,3,1.2,4.11
71,0,0,4,2.17336,3.59314
72,1,0,1,2.05456,4.50263
72,1,0,2,1.37985,3.90354
72,1,0,3,2.4,3.77667
72,1,0,4,1.53333,4.08333
73,1,1,1,1.19676,2.80834
73,1,1,2,1.71675,4.02465
73,1,1,3,2,5.11
73,1,1,4,1.4,4.91667
74,0,0,1,4.20448,1.94237
74,0,0,2,3.62706,1.37979
74,0,0,3,2.4,2.77667
74,0,0,4,3.46667,1.08333
75,1,1,1,1.63974,3.92097
75,1,1,2,2.11336,4.91841
75,1,1,3,2.4,4.69333
75,1,1,4,2.26667,4.66667
76,0,0,1,1.92995,4.42358
76,0,0,2,1.99695,2.20793
76,0,0,3,2,2.36
76,0,0,4,2.55516,3.17488
77,0,1,1,2.02747,2.60771
77,0,1,2,1.03652,3.99385
77,0,1,3,2.2,4.11
77,0,1,4,2,3.61236
78,1,1,1,1.87132,4.30825
78,1,1,2,1.29392,4.95007
78,1,1,3,1.13333,2.77667
78,1,1,4,1.66667,4.58333
79,0,0,1,1.89958,3.08862
79,0,0,2,1.24119,3.745
79,0,0,3,1.33333,5.11
79,0,0,4,1.33333,4.25
80,1,0,1,2.02603,4.87564
80,1,0,2,1.55618,2.74683
80,1,0,3,1.89093,3.46585
80,1,0,4,1.24508,3.77735
81,0,0,1,2.24608,4.70757
81,0,0,2,1.00672,4.10589
81,0,0,3,1.13333,4.61
81,0,0,4,1.13333,5
82,1,1,1,2.24052,3.07119
82,1,1,2,1.39906,4.93438
82,1,1,3,1.4,4.77667
82,1,1,4,1.46959,3.07986
83,0,0,1,2.51992,2.47269
83,0,0,2,2.84292,3.52813
83,0,0,3,2.6,3.77667
83,0,0,4,2.58385,4.33682
84,0,0,1,2.46662,4.54201
84,0,0,2,2.66208,4.09782
84,0,0,3,1,4.35172
84,0,0,4,1.58561,3.82498
85,0,0,1,1.68936,3.05386
85,0,0,2,1.93024,3.56715
85,0,0,3,1.74265,4.0059
85,0,0,4,1.4699,3.35426
86,0,0,1,1.98889,2.67316
86,0,0,2,1.4596,3.15387
86,0,0,3,2.27893,2.78756
86,0,0,4,1.46873,3.74196
87,1,0,1,1.33333,4.73278
87,1,0,2,1.93174,3.96167
87,1,0,3,2.13333,4.94333
87,1,0,4,1.47164,4.54504
88,0,0,1,1.6,4.16667
88,0,0,2,1.46667,3.61551
88,0,0,3,1.73333,4.44333
88,0,0,4,1.23217,3.37574
89,0,0,1,4.6,3.11111
89,0,0,2,1.86667,1.045
89,0,0,3,1.46667,3.02667
89,0,0,4,1.84649,3.01418
90,1,0,1,3.50919,2.20822
90,1,0,2,3.56159,3.27245
90,1,0,3,1.90757,3.54558
90,1,0,4,1.74531,3.60039
91,1,0,1,1,5
91,1,0,2,1.26667,4.12411
91,1,0,3,1.53333,4.94333
91,1,0,4,1.50362,4.84611
92,0,1,1,2.4939,2.46724
92,0,1,2,1.72569,4.06146
92,0,1,3,1.27341,4.70372
92,0,1,4,1.22398,3.63386
93,0,1,1,1.04296,2.37684
93,0,1,2,2.08192,3.58746
93,0,1,3,1.69272,1.95748
93,0,1,4,1.39164,3.31285
94,1,0,1,2.4,4.75
94,1,0,2,1.4,4.97197
94,1,0,3,2.31761,4.91226
94,1,0,4,1.01463,4.87029
95,0,0,1,1.02105,2.48316
95,0,0,2,1.00714,2.56772
95,0,0,3,1.88064,4.03943
95,0,0,4,1.94477,2.99013
96,1,1,1,2.66888,3.04917
96,1,1,2,2.42201,3.07769
96,1,1,3,2.91478,2.52291
96,1,1,4,1.52442,3.88512
97,1,0,1,1.33333,3.75
97,1,0,2,1.8,3.87833
97,1,0,3,1.33196,4.2728
97,1,0,4,1.21387,4.64636
98,0,0,1,3.65,1
98,0,0,2,3.66667,2.17652
98,0,0,3,1.86205,2.62253
98,0,0,4,3.15037,3.01094
99,1,1,1,2.23333,2.97222
99,1,1,2,2.06667,2.95105
99,1,1,3,3.25666,2.65455
99,1,1,4,1.35292,3.19098
100,1,0,1,1.73333,3.75
100,1,0,2,1.26667,3.30469
100,1,0,3,1.4,5.02667
100,1,0,4,1.47733,4.93004
101,0,0,1,1.93333,2.92938
101,0,0,2,1.28488,2.91741
101,0,0,3,1.59266,3.72933
101,0,0,4,2.61194,4.98349
102,1,0,1,4.86667,2.57774
102,1,0,2,1.18594,2.50724
102,1,0,3,1.4,3.44333
102,1,0,4,2.11913,3.37496
103,0,0,1,1.74138,3.52861
103,0,0,2,1.81196,3.13742
103,0,0,3,1.64999,2.41977
103,0,0,4,1.52221,2.70751
104,0,0,1,1.2,2.25
104,0,0,2,1.8,2.73192
104,0,0,3,1.81657,2.06998
104,0,0,4,1.35567,1.41764
105,0,0,1,2.34408,3.37911
105,0,0,2,1.11077,4.9029
105,0,0,3,1.1344,3.98756
105,0,0,4,1.08747,3.58573
106,0,0,1,2.64444,2.58333
106,0,0,2,2.6,2.48633
106,0,0,3,1.76093,2.41138
106,0,0,4,3.25164,3.09419
107,0,1,1,1.13333,1.91667
107,0,1,2,1.46667,1.50711
107,0,1,3,1.53142,2.73293
107,0,1,4,1.5487899999999999,3.28067
108,0,1,1,1.92006,4.60755
108,0,1,2,2.53696,3.76767
108,0,1,3,1.69948,2.82117
108,0,1,4,1.30605,4.26015
109,0,1,1,1.85859,3.89688
109,0,1,2,1.59913,4.22522
109,0,1,3,1.44728,3.95203
109,0,1,4,1.03009,4.66413
110,0,0,1,1.15869,3.45182
110,0,0,2,2.03659,2.78908
110,0,0,3,1.89325,3.0575
110,0,0,4,1.19058,4.39486
111,0,0,1,1,2.26058
111,0,0,2,2.39217,3.045
111,0,0,3,2.73333,1.44333
111,0,0,4,2.47576,1.77973
112,0,0,1,1.22211,4.04775
112,0,0,2,1.72519,2.47887
112,0,0,3,1.6708,3.30003
112,0,0,4,2.19926,4.14685
113,0,0,1,2.55449,3.42982
113,0,0,2,1.21377,2.72079
113,0,0,3,1.7274,4.16801
113,0,0,4,1.56977,3.51508
114,0,0,1,1.45309,4.75
114,0,0,2,1.4,4.25903
114,0,0,3,1.7591,4.69094
114,0,0,4,2.33991,4.25
115,0,0,1,2.60722,2.83333
115,0,0,2,3.86667,2.95035
115,0,0,3,2.54877,3.96324
115,0,0,4,3.22354,3.36715
116,0,0,1,1,5
116,0,0,2,1,5.045
116,0,0,3,1,5.11
116,0,0,4,1,5
117,1,0,1,1.31322,4.25
117,1,0,2,1.06667,4.15611
117,1,0,3,1.33333,3.86
117,1,0,4,1.19168,3.41667
118,0,0,1,1.81633,4.66667
118,0,0,2,1.4,3.54393
118,0,0,3,1.53333,4.94333
118,0,0,4,1.20363,3.58333
119,1,0,1,1.12804,3.75
119,1,0,2,1.6,3.93389
119,1,0,3,1.06667,5.02667
119,1,0,4,1.33333,3.83333
120,0,0,1,1.51041,3.41667
120,0,0,2,1.06667,3.57515
120,0,0,3,2.19244,4.24207
120,0,0,4,1.13333,5
121,1,1,1,2.67119,3.25
121,1,1,2,2.46667,4.545
121,1,1,3,2.18298,4.11752
121,1,1,4,2.75752,4
122,1,0,1,1.3355,4.58333
122,1,0,2,1,4.35056
122,1,0,3,1.66667,4.69333
122,1,0,4,1.2,4.41667
123,1,1,1,1.97287,3.83333
123,1,1,2,1.86667,3.02001
